datetime,query,statistics.volume,statistics.pos_sentiment,statistics.neg_sentiment,group
2019-17,#me,13906,4542.785799999958,457.81889999999964,%Y-%U
2019-04,#me,7242,2122.3231999999775,276.91769999999985,%Y-%m
2019-04-26,qatar on the map,1,0,0.0258,%Y-%m-%d
2019-04-27,qatar on the map,1,0,0.8176,%Y-%m-%d
2019-04-28,qatar on the map,1,0.0987,0,%Y-%m-%d
2019-17,qatar on the map,3,0.8704000000000001,0.4019,%Y-%U
2019-04-27,venezuela,68515,2837.3661999999345,9058.061300002058,%Y-%m-%d
2019-04-28,venezuela,123047,4715.760199999941,15876.182700004865,%Y-%m-%d
2019-04-29,venezuela,63992,3295.6050999998383,8884.632500001344,%Y-%m-%d
2019-17,venezuela,187039,8011.365299999779,24760.81520000621,%Y-%U
2019-04-27,egypt from poland,1,0.8271,0,%Y-%m-%d
2019-17,egypt from poland,0,0,0,%Y-%U
2019-04-27,#qatarairways,19,2.0044,3.6199000000000003,%Y-%m-%d
2019-04-28,#qatarairways,22,3.1193000000000004,1.8887,%Y-%m-%d
2019-04-29,#qatarairways,1,0,0.296,%Y-%m-%d
2019-17,#qatarairways,437,106.11840000000001,11.9375,%Y-%U
2019-04-27,kaczynski,119,4.1079,12.6837,%Y-%m-%d
2019-04-28,kaczynski,390,8.4316,131.98800000000034,%Y-%m-%d
2019-04-29,kaczynski,167,12.0665,26.03349999999999,%Y-%m-%d
2019,kaczynski,676,24.606,170.70520000000033,%Y
2019-16,kaczynski,119,4.1079,12.6837,%Y-%U
2019-17,kaczynski,557,20.4981,158.02150000000034,%Y-%U
2019-04,kaczynski,676,24.606,170.70520000000033,%Y-%m
2019-04-27,#qatarterrorism,5,0,4.5955,%Y-%m-%d
2019-17,#qatarterrorism,17,0.6597,9.7988,%Y-%U
2019-04-27,#terrorismfinancing,1,0,0.4404,%Y-%m-%d
2019-17,#terrorismfinancing,3,0,1.6798,%Y-%U
2019-04-27,#saudiarabia,587,102.38879999999973,139.22179999999997,%Y-%m-%d
2019-04-28,#saudiarabia,1394,300.6948000000006,279.4261999999997,%Y-%m-%d
2019-04-29,#saudiarabia,24,4.3527,3.1489,%Y-%m-%d
2019-17,#saudiarabia,1539,321.1816000000006,325.4084999999997,%Y-%U
2019-04-27,saudi arabia,7241,1260.8986999999809,1030.3112000000021,%Y-%m-%d
2019-04-28,saudi arabia,14428,2409.760499999945,2355.164899999979,%Y-%m-%d
2019-04-29,saudi arabia,126,39.06329999999999,22.367499999999996,%Y-%m-%d
2019-17,saudi arabia,20125,3176.7216999999414,3855.263999999984,%Y-%U
2019-04-27,#terrorism,272,3.7527,205.73869999999997,%Y-%m-%d
2019-04-28,#terrorism,967,19.1244,697.1404999999962,%Y-%m-%d
2019-04-29,#terrorism,5,0.7636,1.5382,%Y-%m-%d
2019-17,#terrorism,1104,20.093400000000003,803.1893999999962,%Y-%U
2019-17,qatar terrorism financing,4,0,1.9675000000000002,%Y-%U
